Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,156,205,0.7610,0.9677,0.9122,0.9125,0.9123
buyer,165,205,0.8049,0.9033,0.9033,0.9033,0.9033
address,205,205,1.0000,1.0000,1.0000,1.0000,1.0000
date,205,205,1.0000,0.0000,0.0000,0.0000,0.0000
currency,205,205,1.0000,1.0000,1.0000,1.0000,1.0000
subtotal,205,205,1.0000,0.9220,0.9220,0.9220,0.9220
discount,205,205,1.0000,1.0000,1.0000,1.0000,1.0000
tax,196,205,0.9561,0.9317,0.9171,0.9317,0.9220
total,201,205,0.9805,0.9268,0.9171,0.9268,0.9203
