Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,782,26,0,0.9775,0.9678,1.0000,0.9836,0.9204,0.9204,0.9204
buyer,100,82,19,0,0.9150,0.8119,1.0000,0.8962,0.9150,0.9150,0.9150
address,100,101,0,0,1.0100,1.0000,1.0000,1.0000,1.0100,1.0100,1.0100
date,100,101,0,0,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000
currency,100,101,0,0,1.0100,1.0000,1.0000,1.0000,1.0100,1.0100,1.0100
subtotal,100,101,0,0,0.9100,1.0000,1.0000,1.0000,0.9100,0.9100,0.9100
discount,100,101,0,0,1.0100,1.0000,1.0000,1.0000,1.0100,1.0100,1.0100
tax,100,96,5,0,0.9500,0.9505,1.0000,0.9746,0.9300,0.9500,0.9367
total,100,99,2,0,0.9300,0.9802,1.0000,0.9900,0.9200,0.9300,0.9233
