Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,76,100,0.7600,0.9675,0.9111,0.9111,0.9111
buyer,81,100,0.8100,0.9050,0.9050,0.9050,0.9050
address,100,100,1.0000,1.0000,1.0000,1.0000,1.0000
date,100,100,1.0000,0.0000,0.0000,0.0000,0.0000
currency,100,100,1.0000,1.0000,1.0000,1.0000,1.0000
subtotal,100,100,1.0000,0.9000,0.9000,0.9000,0.9000
discount,100,100,1.0000,1.0000,1.0000,1.0000,1.0000
tax,95,100,0.9500,0.9400,0.9200,0.9400,0.9267
total,98,100,0.9800,0.9200,0.9100,0.9200,0.9133
