Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,800,1400,0.5714,0.9320,0.9085,0.9086,0.9086
buyer,1090,1400,0.7786,0.8904,0.8907,0.8904,0.8905
address,1400,1400,1.0000,0.9998,0.9998,0.9998,0.9998
date,1400,1400,1.0000,0.0000,0.0000,0.0000,0.0000
currency,1399,1400,0.9993,1.0000,0.9996,1.0000,0.9998
subtotal,1268,1400,0.9057,0.9057,0.9057,0.9057,0.9057
discount,1400,1400,1.0000,1.0000,1.0000,1.0000,1.0000
tax,1238,1400,0.8843,0.9150,0.8996,0.9150,0.9048
total,1243,1400,0.8879,0.9171,0.9025,0.9171,0.9074
