Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,37,100,0.3700,0.8825,0.9103,0.8654,0.8786
buyer,74,100,0.7400,0.8250,0.8450,0.8250,0.8310
address,84,100,0.8400,0.8513,0.8534,0.8513,0.8518
date,98,100,0.9800,0.9200,0.9200,0.9200,0.9200
currency,99,100,0.9900,0.9900,0.9900,0.9900,0.9900
subtotal,81,100,0.8100,0.8100,0.8100,0.8100,0.8100
discount,94,100,0.9400,0.9400,0.9400,0.9400,0.9400
tax,91,100,0.9100,0.9100,0.9100,0.9100,0.9100
total,85,100,0.8500,0.8500,0.8500,0.8500,0.8500
