Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,237,140,423,0.2963,0.6286,0.3591,0.4571,0.7562,0.5450,0.6197
buyer,100,75,24,1,0.8400,0.7576,0.9868,0.8571,0.8420,0.8400,0.8395
address,100,10,78,12,0.6869,0.1136,0.4545,0.1818,0.6937,0.6869,0.6888
date,100,49,7,44,0.2500,0.8750,0.5269,0.6577,0.2500,0.2500,0.2500
currency,100,55,0,45,0.5500,1.0000,0.5500,0.7097,0.5500,0.5500,0.5500
subtotal,100,6,1,93,0.0600,0.8571,0.0606,0.1132,0.0600,0.0600,0.0600
discount,100,6,2,92,0.0600,0.7500,0.0612,0.1132,0.0600,0.0600,0.0600
tax,100,25,4,71,0.2200,0.8621,0.2604,0.4000,0.2200,0.2200,0.2200
total,100,11,24,65,0.0800,0.3143,0.1447,0.1982,0.0733,0.0800,0.0750
