Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,726,74,0,0.9075,0.9075,1.0000,0.9515,0.8468,0.8508,0.8487
buyer,100,100,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
address,100,100,0,0,0.8829,1.0000,1.0000,1.0000,0.8829,0.8829,0.8829
date,100,100,0,0,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000
currency,100,100,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
subtotal,100,80,20,0,0.8000,0.8000,1.0000,0.8889,0.8000,0.8000,0.8000
discount,100,60,40,0,0.6000,0.6000,1.0000,0.7500,0.6000,0.6000,0.6000
tax,100,86,14,0,0.8600,0.8600,1.0000,0.9247,0.8600,0.8600,0.8600
total,100,100,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
