Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,741,31,28,0.9263,0.9598,0.9636,0.9617,0.9314,0.8667,0.8841
buyer,100,95,5,0,0.9483,0.9500,1.0000,0.9744,0.9650,0.9483,0.9543
address,100,88,1,11,0.8182,0.9888,0.8889,0.9362,0.8199,0.8182,0.8190
date,100,94,2,4,0.8500,0.9792,0.9592,0.9691,0.8500,0.8500,0.8500
currency,100,96,0,4,0.9600,1.0000,0.9600,0.9796,0.9600,0.9600,0.9600
subtotal,100,87,9,4,0.8600,0.9062,0.9560,0.9305,0.8600,0.8600,0.8600
discount,100,98,0,2,0.9800,1.0000,0.9800,0.9899,0.9800,0.9800,0.9800
tax,100,97,1,2,0.9300,0.9898,0.9798,0.9848,0.9300,0.9300,0.9300
total,100,86,13,1,0.8400,0.8687,0.9885,0.9247,0.8400,0.8400,0.8400
