Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,798,2,0,0.9975,0.9975,1.0000,0.9987,0.9673,0.9661,0.9667
buyer,100,100,0,0,0.9700,1.0000,1.0000,1.0000,0.9700,0.9700,0.9700
address,100,100,0,0,0.9509,1.0000,1.0000,1.0000,0.9521,0.9509,0.9514
date,100,100,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
currency,100,100,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
subtotal,100,99,1,0,0.9800,0.9900,1.0000,0.9950,0.9800,0.9800,0.9800
discount,100,100,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
tax,100,100,0,0,0.9700,1.0000,1.0000,1.0000,0.9700,0.9700,0.9700
total,100,99,1,0,0.9700,0.9900,1.0000,0.9950,0.9700,0.9700,0.9700
