Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,709,91,0,0.8862,0.8862,1.0000,0.9397,0.8364,0.8395,0.8379
buyer,100,100,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
address,100,99,1,0,0.8794,0.9900,1.0000,0.9950,0.8794,0.8794,0.8794
date,100,100,0,0,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000
currency,100,100,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
subtotal,100,80,20,0,0.8000,0.8000,1.0000,0.8889,0.8000,0.8000,0.8000
discount,100,44,56,0,0.4400,0.4400,1.0000,0.6111,0.4400,0.4400,0.4400
tax,100,86,14,0,0.8600,0.8600,1.0000,0.9247,0.8600,0.8600,0.8600
total,100,100,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
