Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,750,43,15,0.9375,0.9458,0.9804,0.9628,0.9197,0.8748,0.8879
buyer,100,89,12,0,0.8350,0.8812,1.0000,0.9368,0.8550,0.8350,0.8410
address,100,90,5,6,0.9175,0.9474,0.9375,0.9424,0.9196,0.9175,0.9180
date,100,100,0,1,0.9300,1.0000,0.9901,0.9950,0.9300,0.9300,0.9300
currency,100,100,1,0,1.0000,0.9901,1.0000,0.9950,1.0000,1.0000,1.0000
subtotal,100,86,14,1,0.8300,0.8600,0.9885,0.9198,0.8300,0.8300,0.8300
discount,100,95,4,2,0.9700,0.9596,0.9794,0.9694,0.9700,0.9700,0.9700
tax,100,98,1,2,0.9400,0.9899,0.9800,0.9849,0.9400,0.9400,0.9400
total,100,92,6,3,0.8900,0.9388,0.9684,0.9534,0.8900,0.8900,0.8900
