Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,56,100,0.5600,0.9225,0.9103,0.8654,0.8786
buyer,86,100,0.8600,0.8250,0.8450,0.8250,0.8310
address,87,100,0.8700,0.8513,0.8534,0.8513,0.8518
date,99,100,0.9900,0.9200,0.9200,0.9200,0.9200
currency,99,100,0.9900,0.9900,0.9900,0.9900,0.9900
subtotal,85,100,0.8500,0.8100,0.8100,0.8100,0.8100
discount,94,100,0.9400,0.9400,0.9400,0.9400,0.9400
tax,97,100,0.9700,0.9100,0.9100,0.9100,0.9100
total,91,100,0.9100,0.8500,0.8500,0.8500,0.8500
