
          Field |   TP    |   FP    |   FN    | Accuracy | Precision | Recall  |  Fscore  |  T_Prec  | T_Recall  | T_Fscore 
----------------------------------------------------------------------------------------------------------------------------------
  General Score | 786/800 |  22/800 |   0/800 |  0.9825  |  0.9728   | 1.0000  |  0.9862  |  0.9204  |  0.9204   |  0.9204  

          buyer |  82/100 |  19/100 |   0/100 |  0.9150  |  0.8119   | 1.0000  |  0.8962  |  0.9150  |  0.9150   |  0.9150  
        address | 101/100 |   0/100 |   0/100 |  1.0100  |  1.0000   | 1.0000  |  1.0000  |  1.0100  |  1.0100   |  1.0100  
           date | 101/100 |   0/100 |   0/100 |  0.0000  |  1.0000   | 1.0000  |  1.0000  |  0.0000  |  0.0000   |  0.0000  
       currency | 101/100 |   0/100 |   0/100 |  1.0100  |  1.0000   | 1.0000  |  1.0000  |  1.0100  |  1.0100   |  1.0100  
       subtotal | 101/100 |   0/100 |   0/100 |  0.9100  |  1.0000   | 1.0000  |  1.0000  |  0.9100  |  0.9100   |  0.9100  
       discount | 101/100 |   0/100 |   0/100 |  1.0100  |  1.0000   | 1.0000  |  1.0000  |  1.0100  |  1.0100   |  1.0100  
            tax |  98/100 |   3/100 |   0/100 |  0.9500  |  0.9703   | 1.0000  |  0.9849  |  0.9350  |  0.9500   |  0.9400  
          total | 101/100 |   0/100 |   0/100 |  0.9300  |  1.0000   | 1.0000  |  1.0000  |  0.9300  |  0.9300   |  0.9300  
