Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,521,700,0.7443,0.9657,0.9087,0.9086,0.9087
buyer,545,700,0.7786,0.8904,0.8917,0.8904,0.8909
address,700,700,1.0000,0.9998,0.9998,0.9998,0.9998
date,700,700,1.0000,0.0000,0.0000,0.0000,0.0000
currency,700,700,1.0000,1.0000,1.0000,1.0000,1.0000
subtotal,700,700,1.0000,0.9057,0.9057,0.9057,0.9057
discount,700,700,1.0000,1.0000,1.0000,1.0000,1.0000
tax,675,700,0.9643,0.9243,0.9086,0.9243,0.9138
total,688,700,0.9829,0.9171,0.9093,0.9171,0.9119
