Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,650,63,87,0.8125,0.9116,0.8820,0.8966,0.8927,0.8589,0.8655
buyer,100,55,44,1,0.8517,0.5556,0.9821,0.7097,0.7035,0.8517,0.7558
address,100,87,5,8,0.8819,0.9457,0.9158,0.9305,0.8829,0.8819,0.8824
date,100,96,1,3,0.9000,0.9897,0.9697,0.9796,0.9000,0.9000,0.9000
currency,100,97,0,3,0.9700,1.0000,0.9700,0.9848,0.9700,0.9700,0.9700
subtotal,100,87,9,4,0.7800,0.9062,0.9560,0.9305,0.7800,0.7800,0.7800
discount,100,99,1,0,0.9900,0.9900,1.0000,0.9950,0.9900,0.9900,0.9900
tax,100,66,0,34,0.6100,1.0000,0.6600,0.7952,0.6100,0.6100,0.6100
total,100,63,3,34,0.5700,0.9545,0.6495,0.7730,0.5700,0.5700,0.5700
