Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,193,699,0.2761,0.8029,0.8918,0.8531,0.8599
buyer,334,699,0.4778,0.8568,0.7059,0.8568,0.7588
address,597,699,0.8541,0.8665,0.8683,0.8665,0.8672
date,659,699,0.9428,0.8941,0.8941,0.8941,0.8941
currency,669,699,0.9571,0.9571,0.9571,0.9571,0.9571
subtotal,633,699,0.9056,0.8283,0.8283,0.8283,0.8283
discount,664,699,0.9499,0.9499,0.9499,0.9499,0.9499
tax,472,699,0.6753,0.6094,0.6094,0.6094,0.6094
total,462,699,0.6609,0.6123,0.6123,0.6123,0.6123
