Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,700,48,52,0.8750,0.9358,0.9309,0.9333,0.9080,0.8686,0.8807
buyer,100,87,7,6,0.8867,0.9255,0.9355,0.9305,0.8817,0.8867,0.8833
address,100,73,21,6,0.8542,0.7766,0.9241,0.8439,0.8576,0.8542,0.8558
date,100,95,1,4,0.9400,0.9896,0.9596,0.9744,0.9400,0.9400,0.9400
currency,100,98,0,2,0.9800,1.0000,0.9800,0.9899,0.9800,0.9800,0.9800
subtotal,100,94,3,3,0.9100,0.9691,0.9691,0.9691,0.9100,0.9100,0.9100
discount,100,91,8,1,0.9200,0.9192,0.9891,0.9529,0.9133,0.9200,0.9150
tax,100,89,2,9,0.8300,0.9780,0.9082,0.9418,0.8300,0.8300,0.8300
total,100,73,6,21,0.6900,0.9241,0.7766,0.8439,0.6900,0.6900,0.6900
