Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,51,100,0.5100,0.9175,0.9182,0.8814,0.8930
buyer,95,100,0.9500,0.9200,0.9200,0.9200,0.9200
address,72,100,0.7200,0.8581,0.8666,0.8581,0.8615
date,99,100,0.9900,0.9100,0.9100,0.9100,0.9100
currency,99,100,0.9900,0.9900,0.9900,0.9900,0.9900
subtotal,86,100,0.8600,0.7600,0.7600,0.7600,0.7600
discount,97,100,0.9700,0.9700,0.9700,0.9700,0.9700
tax,94,100,0.9400,0.8800,0.8800,0.8800,0.8800
total,92,100,0.9200,0.8400,0.8400,0.8400,0.8400
