Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,34,100,0.3400,0.7887,0.8897,0.7915,0.8205
buyer,93,100,0.9300,0.8700,0.8700,0.8700,0.8700
address,82,100,0.8200,0.8120,0.8170,0.8120,0.8143
date,88,100,0.8800,0.7000,0.7000,0.7000,0.7000
currency,93,100,0.9300,0.9300,0.9300,0.9300,0.9300
subtotal,77,100,0.7700,0.7200,0.7200,0.7200,0.7200
discount,84,100,0.8400,0.8400,0.8400,0.8400,0.8400
tax,60,100,0.6000,0.5400,0.5400,0.5400,0.5400
total,54,100,0.5400,0.5000,0.5000,0.5000,0.5000
