Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,19,100,0.1900,0.7275,0.8897,0.7915,0.8205
buyer,82,100,0.8200,0.8700,0.8700,0.8700,0.8700
address,72,100,0.7200,0.8120,0.8170,0.8120,0.8143
date,75,100,0.7500,0.7000,0.7000,0.7000,0.7000
currency,93,100,0.9300,0.9300,0.9300,0.9300,0.9300
subtotal,72,100,0.7200,0.7200,0.7200,0.7200,0.7200
discount,84,100,0.8400,0.8400,0.8400,0.8400,0.8400
tax,54,100,0.5400,0.5400,0.5400,0.5400,0.5400
total,50,100,0.5000,0.5000,0.5000,0.5000,0.5000
