Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,640,41,127,0.8000,0.9398,0.8344,0.8840,0.8990,0.7996,0.8292
buyer,100,94,2,5,0.9200,0.9792,0.9495,0.9641,0.9200,0.9200,0.9200
address,100,85,5,11,0.9185,0.9444,0.8854,0.9140,0.9235,0.9185,0.9208
date,100,90,4,7,0.7700,0.9574,0.9278,0.9424,0.7700,0.7700,0.7700
currency,100,94,0,7,1.0100,1.0000,0.9307,0.9641,1.0100,1.0100,1.0100
subtotal,100,78,16,7,0.7800,0.8298,0.9176,0.8715,0.7800,0.7800,0.7800
discount,100,85,8,8,0.9300,0.9140,0.9140,0.9140,0.9300,0.9300,0.9300
tax,100,60,0,41,0.9100,1.0000,0.5941,0.7453,0.9100,0.9100,0.9100
total,100,54,6,41,0.8700,0.9000,0.5684,0.6968,0.8700,0.8700,0.8700
