Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,670,78,52,0.8375,0.8957,0.9280,0.9116,0.9080,0.8686,0.8807
buyer,100,82,12,6,0.8867,0.8723,0.9318,0.9011,0.8817,0.8867,0.8833
address,100,49,45,6,0.8542,0.5213,0.8909,0.6577,0.8576,0.8542,0.8558
date,100,94,2,4,0.9400,0.9792,0.9592,0.9691,0.9400,0.9400,0.9400
currency,100,98,0,2,0.9800,1.0000,0.9800,0.9899,0.9800,0.9800,0.9800
subtotal,100,94,3,3,0.9100,0.9691,0.9691,0.9691,0.9100,0.9100,0.9100
discount,100,91,8,1,0.9200,0.9192,0.9891,0.9529,0.9133,0.9200,0.9150
tax,100,89,2,9,0.8300,0.9780,0.9082,0.9418,0.8300,0.8300,0.8300
total,100,73,6,21,0.6900,0.9241,0.7766,0.8439,0.6900,0.6900,0.6900
