Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,7,99,0.0707,0.5556,0.7997,0.6240,0.6741
buyer,60,99,0.6061,0.7088,0.7054,0.7088,0.7057
address,57,99,0.5758,0.6455,0.6552,0.6455,0.6496
date,58,99,0.5859,0.4444,0.4444,0.4444,0.4444
currency,62,99,0.6263,0.6263,0.6263,0.6263,0.6263
subtotal,27,99,0.2727,0.2222,0.2222,0.2222,0.2222
discount,62,99,0.6263,0.6364,0.6313,0.6364,0.6330
tax,52,99,0.5253,0.4949,0.4949,0.4949,0.4949
total,62,99,0.6263,0.5859,0.5859,0.5859,0.5859
