Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,476,63,269,0.5950,0.8831,0.6389,0.7414,0.8063,0.6314,0.6813
buyer,100,78,6,17,0.8750,0.9286,0.8211,0.8715,0.8750,0.8750,0.8733
address,100,68,7,26,0.8818,0.9067,0.7234,0.8047,0.8924,0.8818,0.8863
date,100,61,0,40,0.7800,1.0000,0.6040,0.7531,0.7800,0.7800,0.7800
currency,100,63,0,38,0.9900,1.0000,0.6238,0.7683,0.9900,0.9900,0.9900
subtotal,100,28,24,49,0.4400,0.5385,0.3636,0.4341,0.4400,0.4400,0.4400
discount,100,63,5,33,0.9500,0.9265,0.6562,0.7683,0.9450,0.9500,0.9467
tax,100,52,10,39,0.7800,0.8387,0.5714,0.6797,0.7800,0.7800,0.7800
total,100,63,11,27,0.8100,0.8514,0.7000,0.7683,0.8100,0.8100,0.8100
