Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,455,81,264,0.5687,0.8489,0.6328,0.7251,0.7997,0.6264,0.6756
buyer,100,73,10,17,0.7067,0.8795,0.8111,0.8439,0.7033,0.7067,0.7037
address,100,53,21,26,0.6477,0.7162,0.6709,0.6928,0.6573,0.6477,0.6517
date,100,60,1,39,0.4500,0.9836,0.6061,0.7500,0.4500,0.4500,0.4500
currency,100,63,0,37,0.6300,1.0000,0.6300,0.7730,0.6300,0.6300,0.6300
subtotal,100,28,24,48,0.2300,0.5385,0.3684,0.4375,0.2300,0.2300,0.2300
discount,100,63,5,32,0.6400,0.9265,0.6632,0.7730,0.6350,0.6400,0.6367
tax,100,52,10,38,0.4900,0.8387,0.5778,0.6842,0.4900,0.4900,0.4900
total,100,63,10,27,0.5900,0.8630,0.7000,0.7730,0.5900,0.5900,0.5900
