Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,446,90,264,0.5575,0.8321,0.6282,0.7159,0.7997,0.6264,0.6756
buyer,100,60,23,17,0.7067,0.7229,0.7792,0.7500,0.7033,0.7067,0.7037
address,100,58,16,26,0.6477,0.7838,0.6905,0.7342,0.6573,0.6477,0.6517
date,100,59,2,39,0.4500,0.9672,0.6020,0.7421,0.4500,0.4500,0.4500
currency,100,63,0,37,0.6300,1.0000,0.6300,0.7730,0.6300,0.6300,0.6300
subtotal,100,28,24,48,0.2300,0.5385,0.3684,0.4375,0.2300,0.2300,0.2300
discount,100,63,5,32,0.6400,0.9265,0.6632,0.7730,0.6350,0.6400,0.6367
tax,100,52,10,38,0.4900,0.8387,0.5778,0.6842,0.4900,0.4900,0.4900
total,100,63,10,27,0.5900,0.8630,0.7000,0.7730,0.5900,0.5900,0.5900
