Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,468,68,264,0.5850,0.8731,0.6393,0.7382,0.7997,0.6264,0.6756
buyer,100,75,8,17,0.7067,0.9036,0.8152,0.8571,0.7033,0.7067,0.7037
address,100,64,10,26,0.6477,0.8649,0.7111,0.7805,0.6573,0.6477,0.6517
date,100,60,1,39,0.4500,0.9836,0.6061,0.7500,0.4500,0.4500,0.4500
currency,100,63,0,37,0.6300,1.0000,0.6300,0.7730,0.6300,0.6300,0.6300
subtotal,100,28,24,48,0.2300,0.5385,0.3684,0.4375,0.2300,0.2300,0.2300
discount,100,63,5,32,0.6400,0.9265,0.6632,0.7730,0.6350,0.6400,0.6367
tax,100,52,10,38,0.4900,0.8387,0.5778,0.6842,0.4900,0.4900,0.4900
total,100,63,10,27,0.5900,0.8630,0.7000,0.7730,0.5900,0.5900,0.5900
