Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,6,48,0,0,1.0000,1.0000,1.0000,1.0000,0.9358,0.9358,0.9358
buyer,6,6,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
address,6,6,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
date,6,6,0,0,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000
currency,6,6,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
subtotal,6,6,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
discount,6,6,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
tax,6,6,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
total,6,6,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
