Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,779,21,0,0.9738,0.9738,1.0000,0.9867,0.9111,0.9111,0.9111
buyer,100,82,18,0,0.9050,0.8200,1.0000,0.9011,0.9050,0.9050,0.9050
address,100,100,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
date,100,100,0,0,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000
currency,100,100,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
subtotal,100,100,0,0,0.9000,1.0000,1.0000,1.0000,0.9000,0.9000,0.9000
discount,100,100,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
tax,100,97,3,0,0.9400,0.9700,1.0000,0.9848,0.9250,0.9400,0.9300
total,100,100,0,0,0.9200,1.0000,1.0000,1.0000,0.9200,0.9200,0.9200
