
          Field |   TP    |   FP    |   FN    | Accuracy | Precision | Recall  |  Fscore  |  T_Prec  | T_Recall  | T_Fscore 
----------------------------------------------------------------------------------------------------------------------------------
  General Score | 805/800 |   3/800 |   0/800 |  1.0063  |  0.9963   | 1.0000  |  0.9981  |  0.9204  |  0.9204   |  0.9204  

          buyer | 101/100 |   0/100 |   0/100 |  0.9150  |  1.0000   | 1.0000  |  1.0000  |  0.9150  |  0.9150   |  0.9150  
        address | 101/100 |   0/100 |   0/100 |  1.0100  |  1.0000   | 1.0000  |  1.0000  |  1.0100  |  1.0100   |  1.0100  
           date | 101/100 |   0/100 |   0/100 |  0.0000  |  1.0000   | 1.0000  |  1.0000  |  0.0000  |  0.0000   |  0.0000  
       currency | 101/100 |   0/100 |   0/100 |  1.0100  |  1.0000   | 1.0000  |  1.0000  |  1.0100  |  1.0100   |  1.0100  
       subtotal | 101/100 |   0/100 |   0/100 |  0.9100  |  1.0000   | 1.0000  |  1.0000  |  0.9100  |  0.9100   |  0.9100  
       discount | 101/100 |   0/100 |   0/100 |  1.0100  |  1.0000   | 1.0000  |  1.0000  |  1.0100  |  1.0100   |  1.0100  
            tax |  98/100 |   3/100 |   0/100 |  0.9500  |  0.9703   | 1.0000  |  0.9849  |  0.9350  |  0.9500   |  0.9400  
          total | 101/100 |   0/100 |   0/100 |  0.9300  |  1.0000   | 1.0000  |  1.0000  |  0.9300  |  0.9300   |  0.9300  
