Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,6,56,0,0,1.1667,1.0000,1.0000,1.0000,1.0920,1.0920,1.0920
buyer,6,7,0,0,1.1667,1.0000,1.0000,1.0000,1.1667,1.1667,1.1667
address,6,7,0,0,1.1667,1.0000,1.0000,1.0000,1.1667,1.1667,1.1667
date,6,7,0,0,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000
currency,6,7,0,0,1.1667,1.0000,1.0000,1.0000,1.1667,1.1667,1.1667
subtotal,6,7,0,0,1.1667,1.0000,1.0000,1.0000,1.1667,1.1667,1.1667
discount,6,7,0,0,1.1667,1.0000,1.0000,1.0000,1.1667,1.1667,1.1667
tax,6,7,0,0,1.1667,1.0000,1.0000,1.0000,1.1667,1.1667,1.1667
total,6,7,0,0,1.1667,1.0000,1.0000,1.0000,1.1667,1.1667,1.1667
