Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,6,6,1.0000,1.0000,0.9358,0.9358,0.9358
buyer,6,6,1.0000,1.0000,1.0000,1.0000,1.0000
address,6,6,1.0000,1.0000,1.0000,1.0000,1.0000
date,6,6,1.0000,0.0000,0.0000,0.0000,0.0000
currency,6,6,1.0000,1.0000,1.0000,1.0000,1.0000
subtotal,6,6,1.0000,1.0000,1.0000,1.0000,1.0000
discount,6,6,1.0000,1.0000,1.0000,1.0000,1.0000
tax,6,6,1.0000,1.0000,1.0000,1.0000,1.0000
total,6,6,1.0000,1.0000,1.0000,1.0000,1.0000
