Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,17,18,0.9444,0.9931,0.9358,0.9358,0.9358
buyer,18,18,1.0000,1.0000,1.0000,1.0000,1.0000
address,18,18,1.0000,1.0000,1.0000,1.0000,1.0000
date,18,18,1.0000,0.0000,0.0000,0.0000,0.0000
currency,18,18,1.0000,1.0000,1.0000,1.0000,1.0000
subtotal,18,18,1.0000,1.0000,1.0000,1.0000,1.0000
discount,18,18,1.0000,1.0000,1.0000,1.0000,1.0000
tax,18,18,1.0000,1.0000,1.0000,1.0000,1.0000
total,17,18,0.9444,1.0000,0.9722,1.0000,0.9815
