Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,710,80,10,0.8875,0.8987,0.9861,0.9404,0.9326,0.9237,0.9279
buyer,100,88,12,0,0.9317,0.8800,1.0000,0.9362,0.9367,0.9317,0.9333
address,100,65,35,0,0.9491,0.6500,1.0000,0.7879,0.9520,0.9491,0.9504
date,100,94,3,3,0.8900,0.9691,0.9691,0.9691,0.8900,0.8900,0.8900
currency,100,98,0,2,0.9800,1.0000,0.9800,0.9899,0.9800,0.9800,0.9800
subtotal,100,95,3,2,0.8600,0.9694,0.9794,0.9744,0.8600,0.8600,0.8600
discount,100,87,13,0,0.8700,0.8700,1.0000,0.9305,0.8700,0.8700,0.8700
tax,100,95,4,1,0.8900,0.9596,0.9896,0.9744,0.8900,0.8900,0.8900
total,100,88,10,2,0.8200,0.8980,0.9778,0.9362,0.8200,0.8200,0.8200
