Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,625,101,82,0.7812,0.8609,0.8840,0.8723,0.9006,0.8100,0.8356
buyer,100,74,18,9,0.8633,0.8043,0.8916,0.8457,0.8867,0.8633,0.8693
address,100,68,23,10,0.9216,0.7473,0.8718,0.8047,0.9239,0.9216,0.9225
date,100,94,2,5,0.9400,0.9792,0.9495,0.9641,0.9400,0.9400,0.9400
currency,100,83,8,10,0.9200,0.9121,0.8925,0.9022,0.9200,0.9200,0.9200
subtotal,100,62,17,22,0.6900,0.7848,0.7381,0.7607,0.6900,0.6900,0.6900
discount,100,68,14,19,0.8100,0.8293,0.7816,0.8047,0.8100,0.8100,0.8100
tax,100,84,12,5,0.8400,0.8750,0.9438,0.9081,0.8400,0.8400,0.8400
total,100,92,7,2,0.8700,0.9293,0.9787,0.9534,0.8700,0.8700,0.8700
