Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,27,99,0.2727,0.7816,0.8923,0.8020,0.8273
buyer,65,99,0.6566,0.7795,0.7946,0.7795,0.7825
address,82,99,0.8283,0.8203,0.8226,0.8203,0.8212
date,92,99,0.9293,0.8788,0.8788,0.8788,0.8788
currency,81,99,0.8182,0.8182,0.8182,0.8182,0.8182
subtotal,60,99,0.6061,0.5253,0.5253,0.5253,0.5253
discount,67,99,0.6768,0.6768,0.6768,0.6768,0.6768
tax,82,99,0.8283,0.7778,0.7778,0.7778,0.7778
total,90,99,0.9091,0.8384,0.8384,0.8384,0.8384
