Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,588,130,82,0.7350,0.8189,0.8776,0.8473,0.8926,0.8025,0.8279
buyer,100,65,26,9,0.7717,0.7143,0.8784,0.7879,0.7867,0.7717,0.7747
address,100,45,45,10,0.8221,0.5000,0.8182,0.6207,0.8244,0.8221,0.8230
date,100,93,2,5,0.8800,0.9789,0.9490,0.9637,0.8800,0.8800,0.8800
currency,100,82,8,10,0.8200,0.9111,0.8913,0.9011,0.8200,0.8200,0.8200
subtotal,100,61,17,22,0.5300,0.7821,0.7349,0.7578,0.5300,0.5300,0.5300
discount,100,68,13,19,0.6800,0.8395,0.7816,0.8095,0.6800,0.6800,0.6800
tax,100,83,12,5,0.7800,0.8737,0.9432,0.9071,0.7800,0.7800,0.7800
total,100,91,7,2,0.8400,0.9286,0.9785,0.9529,0.8400,0.8400,0.8400
