Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,296,699,0.4235,0.8496,0.9122,0.8547,0.8717
buyer,500,699,0.7153,0.8239,0.8309,0.8239,0.8258
address,573,699,0.8197,0.8565,0.8563,0.8565,0.8561
date,663,699,0.9485,0.9185,0.9185,0.9185,0.9185
currency,681,699,0.9742,0.9742,0.9742,0.9742,0.9742
subtotal,540,699,0.7725,0.7253,0.7214,0.7253,0.7226
discount,578,699,0.8269,0.8269,0.8269,0.8269,0.8269
tax,657,699,0.9399,0.8813,0.8803,0.8813,0.8805
total,559,699,0.7997,0.7611,0.7611,0.7611,0.7611
