Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,697,34,77,0.8712,0.9535,0.9005,0.9262,0.9159,0.8420,0.8651
buyer,100,90,4,7,0.8800,0.9574,0.9278,0.9424,0.8800,0.8800,0.8800
address,100,83,8,10,0.9313,0.9121,0.8925,0.9022,0.9356,0.9313,0.9324
date,100,95,0,6,0.9700,1.0000,0.9406,0.9694,0.9700,0.9700,0.9700
currency,100,97,0,4,1.0100,1.0000,0.9604,0.9798,1.0100,1.0100,1.0100
subtotal,100,75,4,22,0.8600,0.9494,0.7732,0.8523,0.8550,0.8600,0.8567
discount,100,81,1,19,0.9800,0.9878,0.8100,0.8901,0.9800,0.9800,0.9800
tax,100,95,1,5,0.9500,0.9896,0.9500,0.9694,0.9500,0.9500,0.9500
total,100,81,16,4,0.7700,0.8351,0.9529,0.8901,0.7700,0.7700,0.7700
