Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,55,100,0.5500,0.8662,0.9072,0.8332,0.8563
buyer,90,100,0.9000,0.8100,0.8100,0.8100,0.8100
address,85,100,0.8500,0.8319,0.8362,0.8319,0.8331
date,94,100,0.9400,0.9000,0.9000,0.9000,0.9000
currency,96,100,0.9600,0.9600,0.9600,0.9600,0.9600
subtotal,74,100,0.7400,0.6900,0.6850,0.6900,0.6867
discount,80,100,0.8000,0.8000,0.8000,0.8000,0.8000
tax,94,100,0.9400,0.8900,0.8900,0.8900,0.8900
total,80,100,0.8000,0.7300,0.7300,0.7300,0.7300
