Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,790,10,0,0.9875,0.9875,1.0000,0.9937,0.9526,0.9536,0.9531
buyer,100,99,1,0,0.9800,0.9900,1.0000,0.9950,0.9800,0.9800,0.9800
address,100,97,3,0,0.9306,0.9700,1.0000,0.9848,0.9290,0.9306,0.9298
date,100,100,0,0,0.9900,1.0000,1.0000,1.0000,0.9900,0.9900,0.9900
currency,100,100,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
subtotal,100,99,1,0,0.9800,0.9900,1.0000,0.9950,0.9800,0.9800,0.9800
discount,100,100,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
tax,100,99,1,0,0.9600,0.9900,1.0000,0.9950,0.9600,0.9600,0.9600
total,100,96,4,0,0.9400,0.9600,1.0000,0.9796,0.9400,0.9400,0.9400
