Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,690,33,77,0.8625,0.9544,0.8996,0.9262,0.9072,0.8332,0.8563
buyer,100,89,4,7,0.8100,0.9570,0.9271,0.9418,0.8100,0.8100,0.8100
address,100,83,7,10,0.8319,0.9222,0.8925,0.9071,0.8362,0.8319,0.8331
date,100,94,0,6,0.9000,1.0000,0.9400,0.9691,0.9000,0.9000,0.9000
currency,100,96,0,4,0.9600,1.0000,0.9600,0.9796,0.9600,0.9600,0.9600
subtotal,100,74,4,22,0.6900,0.9487,0.7708,0.8506,0.6850,0.6900,0.6867
discount,100,80,1,19,0.8000,0.9877,0.8081,0.8889,0.8000,0.8000,0.8000
tax,100,94,1,5,0.8900,0.9895,0.9495,0.9691,0.8900,0.8900,0.8900
total,100,80,16,4,0.7300,0.8333,0.9524,0.8889,0.7300,0.7300,0.7300
