Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,310,74,416,0.3875,0.8073,0.4270,0.5586,0.6965,0.5018,0.5707
buyer,100,63,21,16,0.5617,0.7500,0.7975,0.7730,0.6000,0.5617,0.5740
address,100,63,20,17,0.6688,0.7590,0.7875,0.7730,0.6788,0.6688,0.6724
date,100,72,4,24,0.2900,0.9474,0.7500,0.8372,0.2900,0.2900,0.2900
currency,100,68,9,23,0.4800,0.8831,0.7473,0.8095,0.4800,0.4800,0.4800
subtotal,100,13,11,76,0.1200,0.5417,0.1461,0.2301,0.1200,0.1200,0.1200
discount,100,27,3,70,0.2700,0.9000,0.2784,0.4252,0.2700,0.2700,0.2700
tax,100,2,2,96,0.0200,0.5000,0.0204,0.0392,0.0200,0.0200,0.0200
total,100,2,4,94,0.0100,0.3333,0.0208,0.0392,0.0100,0.0100,0.0100
