Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,634,41,125,0.7925,0.9393,0.8353,0.8842,0.8897,0.7915,0.8205
buyer,100,93,2,5,0.8700,0.9789,0.9490,0.9637,0.8700,0.8700,0.8700
address,100,84,5,11,0.8120,0.9438,0.8842,0.9130,0.8170,0.8120,0.8143
date,100,89,4,7,0.7000,0.9570,0.9271,0.9418,0.7000,0.7000,0.7000
currency,100,93,0,7,0.9300,1.0000,0.9300,0.9637,0.9300,0.9300,0.9300
subtotal,100,77,16,7,0.7200,0.8280,0.9167,0.8701,0.7200,0.7200,0.7200
discount,100,84,8,8,0.8400,0.9130,0.9130,0.9130,0.8400,0.8400,0.8400
tax,100,60,0,40,0.5400,1.0000,0.6000,0.7500,0.5400,0.5400,0.5400
total,100,54,6,40,0.5000,0.9000,0.5745,0.7013,0.5000,0.5000,0.5000
