Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,731,38,39,0.9137,0.9506,0.9494,0.9500,0.9521,0.8743,0.8945
buyer,100,97,4,0,0.9717,0.9604,1.0000,0.9798,0.9850,0.9717,0.9760
address,100,70,19,12,0.9402,0.7865,0.8537,0.8187,0.9418,0.9402,0.9409
date,100,94,0,7,0.9400,1.0000,0.9307,0.9641,0.9400,0.9400,0.9400
currency,100,94,0,7,1.0100,1.0000,0.9307,0.9641,1.0100,1.0100,1.0100
subtotal,100,92,3,6,0.9300,0.9684,0.9388,0.9534,0.9300,0.9300,0.9300
discount,100,98,0,3,1.0100,1.0000,0.9703,0.9849,1.0100,1.0100,1.0100
tax,100,97,1,3,0.9700,0.9898,0.9700,0.9798,0.9700,0.9700,0.9700
total,100,89,11,1,0.8500,0.8900,0.9889,0.9368,0.8500,0.8500,0.8500
