Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,438,699,0.6266,0.9192,0.9444,0.8639,0.8871
buyer,621,699,0.8884,0.9413,0.9499,0.9413,0.9443
address,552,699,0.7897,0.8085,0.8091,0.8085,0.8087
date,656,699,0.9385,0.8813,0.8813,0.8813,0.8813
currency,661,699,0.9456,0.9456,0.9456,0.9456,0.9456
subtotal,636,699,0.9099,0.8827,0.8827,0.8827,0.8827
discount,681,699,0.9742,0.9742,0.9742,0.9742,0.9742
tax,673,699,0.9628,0.9142,0.9142,0.9142,0.9142
total,660,699,0.9442,0.9041,0.9041,0.9041,0.9041
