Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,742,43,15,0.9275,0.9452,0.9802,0.9624,0.9103,0.8654,0.8786
buyer,100,88,12,0,0.8250,0.8800,1.0000,0.9362,0.8450,0.8250,0.8310
address,100,89,5,6,0.8513,0.9468,0.9368,0.9418,0.8534,0.8513,0.8518
date,100,99,0,1,0.9200,1.0000,0.9900,0.9950,0.9200,0.9200,0.9200
currency,100,99,1,0,0.9900,0.9900,1.0000,0.9950,0.9900,0.9900,0.9900
subtotal,100,85,14,1,0.8100,0.8586,0.9884,0.9189,0.8100,0.8100,0.8100
discount,100,94,4,2,0.9400,0.9592,0.9792,0.9691,0.9400,0.9400,0.9400
tax,100,97,1,2,0.9100,0.9898,0.9798,0.9848,0.9100,0.9100,0.9100
total,100,91,6,3,0.8500,0.9381,0.9681,0.9529,0.8500,0.8500,0.8500
