Field,Hits,Total,Proportion,Accuracy,Precision,Recall,F_score
General Score,395,700,0.5643,0.9295,0.9086,0.9086,0.9086
buyer,545,700,0.7786,0.8904,0.8907,0.8904,0.8905
address,700,700,1.0000,0.9998,0.9998,0.9998,0.9998
date,700,700,1.0000,0.0000,0.0000,0.0000,0.0000
currency,700,700,1.0000,1.0000,1.0000,1.0000,1.0000
subtotal,634,700,0.9057,0.9057,0.9057,0.9057,0.9057
discount,700,700,1.0000,1.0000,1.0000,1.0000,1.0000
tax,609,700,0.8700,0.9057,0.8879,0.9057,0.8938
total,617,700,0.8814,0.9171,0.8993,0.9171,0.9052
